Figure Type: line chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Neural Networks","closed-ended finite answer set non-binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"Neural Networks","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Architecture Diagram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Architecture Diagram","closed-ended infinite answer set visual","0.22","0.12","1.0","0.22","0.12","1.0","0.8","0.68","0.97"
"Architecture Diagram","closed-ended infinite answer set non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Architecture Diagram","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Architecture Diagram","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Architecture Diagram","closed-ended finite answer set non-binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Architecture Diagram","closed-ended finite answer set non-binary non-visual","0.21","0.12","1.0","0.21","0.12","1.0","0.79","0.68","0.94"
"Architecture Diagram","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Vector plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Vector plot","closed-ended infinite answer set visual","0.11","0.06","1.0","0.11","0.06","1.0","0.74","0.64","0.88"
"Vector plot","closed-ended infinite answer set non-visual","0.22","0.12","1.0","0.22","0.12","1.0","0.75","0.66","0.87"
"Vector plot","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Vector plot","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Vector plot","closed-ended finite answer set non-binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Vector plot","closed-ended finite answer set non-binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"Vector plot","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: histogram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"histogram","closed-ended infinite answer set visual","0.11","0.07","0.25","0.11","0.07","0.25","0.79","0.7","0.9"
"histogram","closed-ended infinite answer set non-visual","0.84","0.73","1.0","0.84","0.73","1.0","0.91","0.85","0.98"
"histogram","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.64","0.89"
"histogram","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"histogram","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
"histogram","closed-ended finite answer set non-binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"histogram","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Scatter Plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Scatter Plot","closed-ended infinite answer set visual","0.13","0.07","1.0","0.13","0.07","1.0","0.78","0.68","0.92"
"Scatter Plot","closed-ended infinite answer set non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.67","0.85"
"Scatter Plot","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Scatter Plot","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Scatter Plot","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
"Scatter Plot","closed-ended finite answer set non-binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Scatter Plot","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Other
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Other","closed-ended infinite answer set visual","0.11","0.06","1.0","0.11","0.06","1.0","0.76","0.65","0.92"
"Other","closed-ended infinite answer set non-visual","0.35","0.21","1.0","0.35","0.21","1.0","0.82","0.71","0.96"
